0.0000000	1683.9591
0.020000000	1683.9591
0.040000000	1658.5311
0.060000000	1600.1640
0.080000000	1587.0226
0.10000000	1585.4986
0.12000000	1574.4546
0.14000000	1565.6712
0.16000000	1565.8534
0.18000000	1576.9483
0.20000000	1581.1211
0.22000000	1577.0174
0.24000000	1563.8530
0.26000000	1568.6506
0.28000000	1578.1777
0.30000000	1576.9771
0.32000000	1567.5361
0.34000000	1565.5848
0.36000000	1574.1107
0.38000000	1577.4579
0.40000000	1586.2678
0.42000000	1602.7292
0.44000000	1632.0357
0.46000000	1664.0404
0.48000000	1741.9612
0.50000000	1908.7193
0.52000000	2103.2394
0.54000000	2529.1815
0.56000000	2866.6411
0.58000000	3313.9340
0.60000000	3711.7943
0.62000000	4117.4853
0.64000000	4504.2868
0.66000000	4942.5951
0.68000000	5423.0109
0.70000000	5952.3468
0.72000000	6583.8581
0.74000000	7049.5545
0.76000000	7531.1701
0.78000000	7843.3077
0.80000000	8144.6931
0.82000000	8377.7348
0.84000000	8575.6390
0.86000000	8775.2071
0.88000000	8984.7190
0.90000000	9164.6837
0.92000000	9331.5952
0.94000000	9509.7754
0.96000000	9650.4342
0.98000000	9804.4005
1.0000000	9932.7310
1.0200000	10063.120
1.0400000	10175.264
1.0600000	10308.057
1.0800000	10410.899
1.1000000	10528.115
1.1200000	10628.475
1.1400000	10717.336
1.1600000	10806.254
1.1800000	10877.689
1.2000000	10954.358
1.2200000	11024.181
1.2400000	11101.548
1.2600000	11172.063
1.2800000	11268.017
1.3000000	11330.162
1.3200000	11392.180
1.3400000	11464.113
1.3600000	11535.640
1.3800000	11612.836
1.4000000	11674.659
1.4200000	11735.823
1.4400000	11814.811
1.4600000	11923.110
1.4800000	12004.123
1.5000000	12108.634
1.5200000	12204.982
1.5400000	12315.203
1.5600000	12427.650
1.5800000	12553.054
1.6000000	12677.515
1.6200000	12817.247
1.6400000	12969.149
1.6600000	13121.785
1.6800000	13305.828
1.7000000	13470.092
1.7200000	13667.844
1.7400000	13872.288
1.7600000	14101.743
1.7800000	14335.823
1.8000000	14596.963
1.8200000	14839.431
1.8400000	15092.675
1.8600000	15401.976
1.8800000	15678.169
1.9000000	16004.604
1.9200000	16310.651
1.9400000	16636.371
1.9600000	16958.540
1.9800000	17303.542
2.0000000	17615.361
2.0200000	17959.454
2.0400000	18276.653
2.0600000	18577.645
2.0800000	18886.987
2.1000000	19143.338
2.1200000	19396.750
2.1400000	19618.306
2.1600000	19809.881
2.1800000	19952.723
2.2000000	20079.601
2.2200000	20155.717
2.2400000	20203.622
2.2600000	20208.312
2.2800000	20173.229
2.3000000	20093.093
2.3200000	19969.340
2.3400000	19810.660
2.3600000	19626.690
2.3800000	19395.170
2.4000000	19168.835
2.4200000	18892.342
2.4400000	18609.171
2.4600000	18307.201
2.4800000	17984.411
2.5000000	17663.830
2.5200000	17337.949
2.5400000	17004.155
2.5600000	16659.356
2.5800000	16333.297
2.6000000	15970.918
2.6200000	15659.954
2.6400000	15324.132
2.6600000	15007.839
2.6800000	14695.785
2.7000000	14399.492
2.7200000	14088.391
2.7400000	13810.923
2.7600000	13534.644
2.7800000	13254.948
2.8000000	13009.479
2.8200000	12755.853
2.8400000	12526.719
2.8600000	12292.667
2.8800000	12078.513
2.9000000	11865.211
2.9200000	11676.314
2.9400000	11478.180
2.9600000	11297.064
2.9800000	11119.998
3.0000000	10941.044
3.0200000	10779.987
3.0400000	10614.329
3.0600000	10463.158
3.0800000	10311.228
3.1000000	10173.674
3.1200000	10031.767
3.1400000	9908.7103
3.1600000	9773.7805
3.1800000	9654.4216
3.2000000	9541.1362
3.2200000	9434.0783
3.2400000	9323.8700
3.2600000	9223.1730
3.2800000	9121.2312
3.3000000	9021.3316
3.3200000	8932.7423
3.3400000	8840.4596
3.3600000	8762.6856
3.3800000	8680.8221
3.4000000	8604.4106
3.4200000	8522.7292
3.4400000	8442.6414
3.4600000	8360.4969
3.4800000	8288.7796
3.5000000	8221.3271
3.5200000	8151.5276
3.5400000	8085.4068
3.5600000	8016.6890
3.5800000	7947.7821
3.6000000	7882.9813
3.6200000	7821.2081
3.6400000	7756.3459
3.6600000	7696.8566
3.6800000	7632.1300
3.7000000	7567.5096
3.7200000	7507.3462
3.7400000	7447.8738
3.7600000	7386.7963
3.7800000	7327.8656
3.8000000	7266.4974
3.8200000	7200.8831
3.8400000	7140.7606
3.8600000	7078.6185
3.8800000	7024.7744
3.9000000	6977.6480
3.9200000	6928.6404
3.9400000	6881.7247
3.9600000	6836.0132
3.9800000	6789.7749
4.0000000	6744.6419
4.0200000	6708.1094
4.0400000	6675.0204
4.0600000	6651.5528
4.0800000	6627.2642
4.1000000	6610.4989
4.1200000	6596.7957
4.1400000	6589.6634
4.1600000	6582.6372
4.1800000	6580.4052
4.2000000	6582.8056
4.2200000	6585.7166
4.2400000	6591.5399
4.2600000	6601.5618
4.2800000	6615.1831
4.3000000	6625.3029
4.3200000	6636.3195
4.3400000	6645.9491
4.3600000	6654.9816
4.3800000	6663.1308
4.4000000	6673.0726
4.4200000	6683.2499
4.4400000	6690.0736
4.4600000	6692.7236
4.4800000	6692.5126
4.5000000	6693.2715
4.5200000	6690.0587
4.5400000	6684.9043
4.5600000	6674.7666
4.5800000	6665.6074
4.6000000	6653.9770
4.6200000	6637.3386
4.6400000	6622.3652
4.6600000	6606.6535
4.6800000	6591.1567
4.7000000	6576.0130
4.7200000	6560.4668
4.7400000	6538.1555
4.7600000	6517.4488
4.7800000	6498.1972
4.8000000	6479.9613
4.8200000	6458.1228
